pin14,street_number,street_name,dir,type,sq_ft,ward,community_area,zoning_classification
20163110060000,525,60TH,W,ST,7065,20,ENGLEWOOD,RS-3
20083100050000,5215,LAFLIN,S,ST,3118,16,NEW CITY,RS-3
20213240380000,7008,WALLACE,S,ST,3109,6,ENGLEWOOD,RS-3
20192110410000,6448,WOOD,S,ST,4913,15,WEST ENGLEWOOD,RS-3
20084020160000,5137,ABERDEEN,S,ST,3117,16,NEW CITY,RS-3
20093290380000,618,GARFIELD,W,BLVD,3092,3,NEW CITY,RS-3
20094160200000,5363,SHIELDS,S,AVE,4138,3,FULLER PARK,RS-3
20163170350000,6122,STEWART,S,AVE,4810,20,ENGLEWOOD,RS-3
20301210480000,7358,SEELEY,S,AVE,3092,17,WEST ENGLEWOOD,RS-2
20162200280000,5742,LAFAYETTE,S,AVE,2482,20,WASHINGTON PARK,RS-3
20213250170000,7050,PARNELL,S,AVE,4167,6,ENGLEWOOD,RT-4
20163140330000,400,60TH,W,ST,5077,20,ENGLEWOOD,RS-3
20194250280000,7012,WOLCOTT,S,AVE,3117,17,WEST ENGLEWOOD,RS-3
20203090140000,6833,JUSTINE,S,ST,3127,17,WEST ENGLEWOOD,RS-3
20272120470000,615,72ND,E,ST,1098,6,GREATER GRAND CROSSING,RS-3
20174180210000,6143,ABERDEEN,S,ST,3163,16,ENGLEWOOD,RS-3
20163000270000,5918,EMERALD,S,AVE,3190,16,ENGLEWOOD,RS-3
20081200110000,1232,49TH,W,PL,3326,16,NEW CITY,RS-3
20093160260000,5312,EMERALD,S,AVE,3097,3,NEW CITY,RS-3
20203130160000,6843,ADA,S,ST,3150,17,WEST ENGLEWOOD,RS-3
20201170020000,6603,JUSTINE,S,ST,3098,17,WEST ENGLEWOOD,RS-3
20204070010000,6701,GREEN,S,ST,6701,6,ENGLEWOOD,RS-3
20084200110000,827,53RD,W,ST,3110,20,NEW CITY,RS-3
20161010040000,703,GARFIELD,W,BLVD,3837,3,ENGLEWOOD,RT-4
20091130260000,5034,UNION,S,AVE,2871,3,NEW CITY,RS-3
20184310040000,6209,MARSHFIELD,S,AVE,3021,16,WEST ENGLEWOOD,RS-3
20181110130000,5637,HOYNE,S,AVE,4001,15,WEST ENGLEWOOD,RS-3
20084010360000,5132,ABERDEEN,S,ST,3253,16,NEW CITY,RS-3
20232270340000,1419,66TH,E,PL,5114,5,WOODLAWN,RM-5
20203290090000,7025,ADA,S,ST,3107,17,WEST ENGLEWOOD,RS-3
20094160610000,5408,PRINCETON,S,AVE,4135,3,FULLER PARK,RS-3
20162070290000,5621,LAFAYETTE,S,AVE,2503,3,WASHINGTON PARK,RS-3
20211050410000,410,64TH,W,ST,2345,20,ENGLEWOOD,RT-4
20172170480000,5758,ABERDEEN,S,ST,4020,16,ENGLEWOOD,RS-3
20161130060000,5715,EMERALD,S,AVE,2988,20,ENGLEWOOD,RS-3
20161010450000,5526,UNION,S,AVE,5660,3,ENGLEWOOD,RS-3
20232180030000,1408,65TH,E,PL,4918,20,WOODLAWN,RM-5
20174060080000,5917,PEORIA,S,ST,3129,16,ENGLEWOOD,RS-3
20292280200000,7406,PEORIA,S,ST,3116,17,ENGLEWOOD,RS-3
20224010170000,6739,EBERHART,S,AVE,1491,20,WOODLAWN,RS-3
20184090310000,6016,WOLCOTT,S,AVE,3106,15,WEST ENGLEWOOD,RS-3
20204160260000,6930,MAY,S,ST,3106,17,ENGLEWOOD,RS-3
20083090410000,5250,LAFLIN,S,ST,3125,16,NEW CITY,RS-3
20202090170000,6445,MAY,S,ST,3111,16,ENGLEWOOD,RS-3
20161050300000,430,56TH,W,ST,3538,3,ENGLEWOOD,RS-3
20213160280000,6938,WALLACE,S,ST,3107,6,ENGLEWOOD,RS-3
20203080250000,6826,JUSTINE,S,ST,3041,17,WEST ENGLEWOOD,RS-3
20161000510000,5600,EMERALD,S,AVE,3026,20,ENGLEWOOD,RS-3
20103040480000,5240,PRAIRIE,S,AVE,8151,3,WASHINGTON PARK,RM-5
20213080040000,6817,UNION,S,AVE,8001,6,ENGLEWOOD,RT-4
20084050160000,819,51ST,W,ST,3140,3,NEW CITY,RS-3
20194220370000,6934,MARSHFIELD,S,AVE,3118,17,WEST ENGLEWOOD,RS-3
20202170410000,6546,ABERDEEN,S,ST,3109,17,ENGLEWOOD,RS-3
20081290330000,5036,THROOP,S,ST,3109,16,NEW CITY,RS-3
20184180180000,6141,WOLCOTT,S,AVE,3106,15,WEST ENGLEWOOD,RS-3
20232200140000,1440,MARQUETTE,E,RD,3721,20,WOODLAWN,RM-5
20084200100000,831,53RD,W,ST,3607,20,NEW CITY,RS-3
20213030160000,6748,PARNELL,S,AVE,6401,6,ENGLEWOOD,RT-4
20081240270000,5004,JUSTINE,S,ST,2908,16,NEW CITY,RT-4
20084160020000,5307,MAY,S,ST,3107,16,NEW CITY,RS-3
20231210220000,6602,DREXEL,S,AVE,6042,5,WOODLAWN,RT-4
20162190210000,5817,LA SALLE,S,ST,3349,20,ENGLEWOOD,RS-3
20164200040000,6213,PRINCETON,S,AVE,2415,20,ENGLEWOOD,RS-3
20181170330000,5744,SEELEY,S,AVE,4014,15,WEST ENGLEWOOD,RS-3
20202200330000,6520,SANGAMON,S,ST,3120,17,ENGLEWOOD,RS-3
20162180270000,145,57TH,W,PL,1845,20,ENGLEWOOD,RS-3
20083130260000,5304,LAFLIN,S,ST,3113,16,NEW CITY,RS-3
20222040200000,6351,ST LAWRENCE,S,AVE,1780,20,WOODLAWN,RT-4
20282000200000,7128,HARVARD,S,AVE,1579,6,GREATER GRAND CROSSING,RT-4
20174010400000,5940,ABERDEEN,S,ST,3105,16,ENGLEWOOD,RS-3
20204130390000,6842,PEORIA,S,ST,3134,17,ENGLEWOOD,RS-3
20213190090000,6933,NORMAL,S,BLVD,4129,6,ENGLEWOOD,RT-4
20281050090000,7106,NORMAL,S,BLVD,8786,6,ENGLEWOOD,RT-4
20164040340000,5942,LA SALLE,S,ST,3393,20,ENGLEWOOD,RS-3
20074020170000,5135,WOLCOTT,S,AVE,3112,16,NEW CITY,RS-3
20181160350000,5754,HOYNE,S,AVE,3810,15,WEST ENGLEWOOD,RS-3
20101210080000,215,50TH,E,ST,2219,3,GRAND BOULEVARD,RM-5
20154040220000,6026,ST LAWRENCE,S,AVE,3404,20,WOODLAWN,RM-5
20084050090000,837,51ST,W,ST,3141,3,NEW CITY,RS-3
20202170160000,6537,MAY,S,ST,3109,17,ENGLEWOOD,RS-3
20091110140000,737,49TH,W,PL,3067,3,NEW CITY,RS-3
20081290030000,5005,ADA,S,ST,3110,16,NEW CITY,RS-3
20093080360000,5242,EMERALD,S,AVE,2979,3,NEW CITY,RS-3
20272120010000,7201,ST LAWRENCE,S,AVE,2348,6,GREATER GRAND CROSSING,RS-3
20194300250000,7014,MARSHFIELD,S,AVE,3120,17,WEST ENGLEWOOD,RS-3
20212080120000,6500,HARVARD,S,AVE,2544,20,ENGLEWOOD,RT-4
20202100400000,6446,CARPENTER,S,ST,3113,16,ENGLEWOOD,RS-3
20093160360000,5338,EMERALD,S,AVE,3095,3,NEW CITY,RS-3
20172070090000,5547,GREEN,S,ST,4553,20,ENGLEWOOD,RS-3
20173030190000,5918,LOOMIS,S,BLVD,3607,16,WEST ENGLEWOOD,RS-3
20211120100000,6423,PARNELL,S,AVE,2499,20,ENGLEWOOD,RT-4
20231150280000,6526,ELLIS,S,AVE,3136,20,WOODLAWN,RT-4
20074180010000,5301,WOLCOTT,S,AVE,5952,16,NEW CITY,RS-3
20103020310000,5160,INDIANA,S,AVE,8114,3,WASHINGTON PARK,RM-5
20103110200000,5316,PRAIRIE,S,AVE,3911,3,WASHINGTON PARK,RM-5
20171190100000,5725,BISHOP,S,ST,3119,16,WEST ENGLEWOOD,RS-3
20201090390000,6434,LAFLIN,S,ST,3098,17,WEST ENGLEWOOD,RS-3
20224150210000,6953,VERNON,S,AVE,4333,6,GREATER GRAND CROSSING,RS-3
20272300130000,7435,LANGLEY,S,AVE,3739,6,GREATER GRAND CROSSING,RS-3
20174010210000,5939,MAY,S,ST,3105,16,ENGLEWOOD,RS-3
20174240180000,6210,MAY,S,ST,3107,16,ENGLEWOOD,RS-3
20171180470000,5758,BISHOP,S,ST,3017,16,WEST ENGLEWOOD,RS-3
20161130280000,5724,UNION,S,AVE,2986,20,ENGLEWOOD,RS-3
20093080410000,5256,EMERALD,S,AVE,2860,3,NEW CITY,RS-3
20172130250000,5628,PEORIA,S,ST,4216,16,ENGLEWOOD,RS-3
20184190190000,6149,HONORE,S,ST,4036,15,WEST ENGLEWOOD,RS-3
20174190360000,6138,MORGAN,S,ST,3133,16,ENGLEWOOD,RS-3
20192260210000,6610,HONORE,S,ST,3686,15,WEST ENGLEWOOD,RS-3
