pin14,city_owned,street_number,street_dir,street_name,street_type,zoning_classification,ward,residential,sq_ft,zip_code,alderman_hold
16123100080000,t,2943,W,FULTON,ST,RT-4,,t,3736,,
16124150550000,t,2738,W,MAYPOLE,AVE,RT-4,,t,1495,,
16124150440000,t,2758,W,MAYPOLE,AVE,RT-4,,t,1031,,
16123120160000,t,3124,W,LAKE,ST,M1-3/RT-4,,t,6242,,
16123190110000,t,3130,W,WASHINGTON,BLVD,RM-5,,t,2561,,
16123120200000,t,3124,W,LAKE,ST,RT-4,,t,10174,,
16123120270000,t,218,N,ALBANY,AVE,RT-4,,t,3234,,
16114070120000,t,3431,W,FULTON,BLVD,RT-4,,t,1977,,
16114030280000,t,3540,W,FULTON,ST,RT-4,,t,4592,,
16144070240000,t,3242,W,LEXINGTON,ST,RT-4,,t,3087,,
16144040270000,t,3540,W,LEXINGTON,ST,RT-4,,t,3892,,
16143040360000,t,3608,W,FLOURNOY,ST,RT-4,,t,1224,,
16144040210000,t,3517,W,FLOURNOY,ST,RT-4,,t,3101,,
16144010330000,t,3412,W,FLOURNOY,ST,RT-4,,t,2866,,
16133020220000,t,2942,W,FLOURNOY,ST,RT-4,,t,2864,,
16133060170000,t,2941,W,FLOURNOY,ST,RT-4,,t,2900,,
16133060200000,t,2929,W,FLOURNOY,ST,RT-4,,t,2875,,
16133020260000,t,2928,W,FLOURNOY,ST,RT-4,,t,3253,,
16133060210000,t,2925,W,FLOURNOY,ST,RT-4,,t,2585,,
16133020280000,t,2922,W,FLOURNOY,ST,RT-4,,t,3147,,
16133060240000,t,2919,W,FLOURNOY,ST,RT-4,,t,2679,,
16133060260000,t,2911,W,FLOURNOY,ST,RT-4,,t,2857,,
16133020340000,t,2908,W,FLOURNOY,ST,RT-4,,t,3145,,
16133150160000,t,2825,W,POLK,ST,RT-4,,t,2986,,
16133150010000,t,2859,W,POLK,ST,RT-4,,t,3219,,
16133100260000,t,2940,W,POLK,ST,RT-4,,t,2851,,
16133090480000,t,3024,W,POLK,ST,RT-4,,t,6252,,
16123300020000,t,2955,W,WARREN,BLVD,RT-4,,t,3291,,
16123300250000,t,2901,W,WARREN,BLVD,RT-4,,t,2396,,
16124260160000,t,2633,W,WARREN,BLVD,RT-4,,t,3127,,
16131120170000,t,202,S,TROY,ST,RM-5,,t,1596,,
16142270100000,t,3333,W,VAN BUREN,ST,RM-5,,t,3131,,
16142220170000,t,3310,W,VAN BUREN,ST,RM-5,,t,2486,,
16132170190000,t,2615,W,JACKSON,BLVD,RT-4,,t,4996,,
16132160200000,t,2713,W,JACKSON,BLVD,RT-4,,t,2134,,
16132120390000,t,2718,W,JACKSON,BLVD,RT-4,,t,3109,,
16131120160000,t,3148,W,JACKSON,BLVD,RM-5,,t,2702,,
16142090430000,t,3400,W,JACKSON,BLVD,RM-5,,t,5905,,
16114010110000,t,3434,W,CARROLL,AVE,RT-4,,t,3988,,
16114110520000,t,3207,W,WALNUT,ST,RT-4,,t,3383,,
16114110450000,t,3225,W,WALNUT,ST,RT-4,,t,3324,,
16114080670000,t,3262,W,WALNUT,ST,RT-4,,t,2972,,
16114030350000,t,3518,W,FULTON,BLVD,RT-4,,t,11344,,
16114050470000,t,3348,WEST,FULTON,BOULEVARD,RT-4,,t,3567,60624,
16114040450000,t,314,N,HOMAN,AVE,RT-4,,t,3713,,
16123220120000,t,115,N,FRANCISCO,AVE,RT-4,,t,3359,,
16123220090000,t,2841,W,LAKE,ST,RT-4,,t,3684,,
16124180320000,t,2639,W,MAYPOLE,AVE,RT-4,,t,1910,,
16123230150000,t,113,N,MOZART,ST,RT-4,,t,3061,,
16133070070000,t,2843,W,FLOURNOY,ST,RT-4,,t,3123,,
16133070100000,t,2837,W,FLOURNOY,ST,RT-4,,t,3126,,
16131040100000,t,2945,W,MONROE,ST,RT-4,,t,1206,,
16131040160000,t,2948,W,FIFTH,AVE,RT-4,,t,1490,,
16131040190000,t,2942,W,FIFTH,AVE,RT-4,,t,1196,,
16131160080000,t,2943,W,ADAMS,ST,RT-4,,t,2923,,
16142100150000,t,3321,W,ADAMS,ST,RM-5,,t,2815,,
16142080100000,t,3523,W,ADAMS,ST,RT-4,,t,3575,,
16142080080000,t,3527,W,ADAMS,ST,RT-4,,t,3575,,
16131010120000,t,23,S,ALBANY,AVE,RT-4,,t,2153,,
16131010150000,t,29,S,ALBANY,AVE,RT-4,,t,2152,,
16131020310000,t,28,S,SACRAMENTO,BLVD,RT-4,,t,1183,,
16131020320000,t,30,S,SACRAMENTO,BLVD,RT-4,,t,1621,,
16144080030000,t,3551,W,LEXINGTON,ST,RT-4,,t,3138,,
16143120060000,t,3641,W,LEXINGTON,ST,RT-4,,t,6150,,
